public_metrics,created_at,id,text,reply_settings,conversation_id,source,author_id,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-10T14:40:28.000Z,807595846724440065,#depressed sex jana cova youporn http://someurl,everyone,807595846724440065,Twitter Web Client,225504780,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-06T11:34:01.000Z,806099372706557952,#Sunday Part 2 http://someurl @someuser #youtube #dailylife #depressed #journey #reallife #lbloggers #uk #female,everyone,806099372706557952,Echofon,1345525303,en,#depressed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",2016-12-04T01:13:05.000Z,805218333847130112,Eish alguem me deu unfollow #depressed,everyone,805218333847130112,Twitter for iPhone,2935118553,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-03T14:39:37.000Z,805058915834556416,@someuser @someuser BASTA HAHAHAHHAHA #DEPRESSED HAHAHHAHAHA #iNEEDBLADERIGHTNOW,everyone,805050973416669185,Twitter Web Client,770140820531970049,tl,#depressed,,"[{'type': 'replied_to', 'id': '805058484714647552'}]",795157418028060672
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-29T14:40:42.000Z,803609635534020608,Encontrou-me mau humorada e deprimida. #depressed,everyone,803609635534020608,Twitter for Windows Phone,408159198,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-27T23:22:02.000Z,803016057636196353,Se eu te oferecer todo o meu amor e pizza você fica ? | #depressed... http://someurl,everyone,803016057636196353,Instagram,1128418218,pt,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [-43.24742184, -22.91658922]}, 'place_id': '97bcdfca1a2dca59'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-11-25T22:56:46.000Z,802284926800461825, agora eu entendi porque alguns anjos caiem  #sextadetremurasdv  #depressed,everyone,802284926800461825,Twitter for Android,1297244016,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-24T23:49:33.000Z,801935819124645889,Aí em 5 minutos de ingressos liberados esgota o único q interessa: @someuser  #sad #depressed @someuser @someuser @someuser,everyone,801935819124645889,Twitter for Android,4871696195,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-24T20:52:40.000Z,801891307719303168,Engordando as mágoas 😭 #food #depressed #enoughalready #enoughisenough @ Doçura Doceria http://someurl,everyone,801891307719303168,Instagram,78030708,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-20T03:41:59.000Z,800182376877981696,#depressed sex sexmovice http://someurl,everyone,800182376877981696,Twitter Web Client,1630912266,ht,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-19T10:23:27.000Z,799921019217711104,Sasha http://someurl im #bigass #fotografheryerde #depressed #bench #happyfridayhave #irongirl,everyone,799921019217711104,MEGAPO.ST,2837163216,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-19T06:04:17.000Z,799855799891849216,Genovera http://someurl or #boys #liveauthentic #depressed #baku #strongnotskinny #wbff,everyone,799855799891849216,MEGAPO.ST,2838933211,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-19T04:08:47.000Z,799826729443397632,está tudo tão frio novamente | #depressed #feelingsosmall #ineedyou | #loneliness #sorry #hurt #alone #goodbye,everyone,799826729443397632,Twitter for Android,1297244016,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-17T19:19:25.000Z,799331124405215232,Janela http://someurl im #sexy #fotografheryerde #depressed #azerbaijan #teamcln #невозможноевозможно,everyone,799331124405215232,MEGAPO.ST,2838933211,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-17T14:33:22.000Z,799259139364900864,Agretha http://someurl or #abgngentot #contest #depressed #npc #luxe #dnesjem,everyone,799259139364900864,MEGAPO.ST,2838933211,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-17T12:23:37.000Z,799226486649655296,Agretha http://someurl or #cewek #gratid #227;o #depressed #momentos #fitspiration #fitgirlsguide,everyone,799226486649655296,MEGAPO.ST,2835347628,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-15T16:11:29.000Z,798559053307871233,Agretha http://someurl es #sex #aniyakala #depressed #boy #basketball #breathe,everyone,798559053307871233,MEGAPO.ST,2835347628,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-11-13T20:21:09.000Z,797897108951040000,@someuser #depressed que se passa?,everyone,797896210556170240,Twitter for Android,4113797001,pt,#depressed,,"[{'type': 'replied_to', 'id': '797896210556170240'}]",2340999138
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-13T18:41:14.000Z,797871963935014912,Janela http://someurl  #cewek #freebirds #depressed #nomercy #abslast #fitbody,everyone,797871963935014912,MEGAPO.ST,2837163216,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-11T19:11:42.000Z,797154856729477120,Depressa| #depressed#depression#,everyone,797154856729477120,Twitter for Android,775616541043941376,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-11T13:14:30.000Z,797064961369501696,Eu juro que não aguento aquelas pessoas super #depressed sou bué animado #bleçed,everyone,797064961369501696,Twitter for Android,796610889776562176,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",2016-11-10T23:31:11.000Z,796857768779059200,Reena http://someurl os  #aniyakala #depressed #ultrazx #mtlmoments #фитнесс,everyone,796857768779059200,MEGAPO.ST,2835347628,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-09T23:52:03.000Z,796500632794517505,hoje é daqueles dias em que eu acho que não estou ca a fazer nada neste mundo.. #depressed,everyone,796500632794517505,Twitter Web Client,248900725,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-05T19:47:19.000Z,794989491161300994,"• Tento não ir abaixo, mas cada vez é mais difícil, pois o sentimento só cresce • | | #depressed... http://someurl",everyone,794989491161300994,Linkis: turn sharing into growth,1419044264,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-04T08:54:55.000Z,794462920629489665,Part 2 #mathsexam 📚🙄#depressed,everyone,794462920629489665,Twitter for iPhone,47384603,en,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-03T02:48:47.000Z,794008393883222017,Passar o feriado assistindo filme. #nosociallife #aloneforever #lonely #depressed Just wish a... http://someurl,everyone,794008393883222017,Instagram,115463405,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-03T01:56:16.000Z,793995178197454848,#vsco #alternative #indie #suicidal #suicideboy #depressed #suburbanlife #lifevoid @ Praça da... http://someurl,everyone,793995178197454848,Instagram,437902511,pt,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [-43.93802411, -19.93215393]}, 'place_id': 'd9d978b087a92583'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-28T05:44:48.000Z,791878361089994752,Tenho familia viva mas sinceramente hj em dia prefiria n ter. No final da no msmo. N tenho ninguém. #depressed,everyone,791878361089994752,Twitter for Android,785618188704817152,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-27T14:45:17.000Z,791651990384369665,Sabe aquela prova mal feita que te faz pensar se você está mesmo no curso certo? Então... #depressed,everyone,791651990384369665,Twitter for Android,2611360606,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-26T17:47:10.000Z,791335374454976512,Agretha http://someurl es #sexy #gezmeler #depressed #фитнеспитание #shelifts #hardcoreladies,everyone,791335374454976512,MEGAPO.ST,2839528435,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-10-26T06:57:06.000Z,791171782736744448,Agretha http://someurl es #tante #ifbb #depressed #malemodel #girlswithtattoos #phgym,everyone,791171782736744448,MEGAPO.ST,2839528435,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-10-23T06:37:30.000Z,790079683018760192,@someuser não:( #depressed| mas eu vi que tinha umas lindas no Skype contigo ??,everyone,790077710609547265,Twitter for Android,367932240,pt,#depressed,,"[{'type': 'replied_to', 'id': '790078487096881153'}]",3132587689
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-22T08:50:45.000Z,789750828601049088,Alergia Part.2 3:45 am😔 #sad #toptags #sad @someuser #nothappy #cry #crying #tears #instasad #sadness #depressed... http://someurl,everyone,789750828601049088,Facebook,850235467,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-21T22:05:14.000Z,789588380870971392,Raquel http://someurl im #cewek #bir_dakika #depressed #teamandro #fitnessbody #фитнесс,everyone,789588380870971392,MEGAPO.ST,2837163216,fr,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-20T08:47:20.000Z,789025195814187008,Janela http://someurl as #instagram #precontest #depressed #entregaimediata #ballsohard #stronggirl,everyone,789025195814187008,MEGAPO.ST,2839528435,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-10-20T01:01:27.000Z,788907952593928193,#MarijuanaFact: #Cannabis Combats Depression. #Uberfacts #depressed #depression #vegascannabis #uberfact #uberfacts #cannabisfacts #weed http://someurl,everyone,788907952593928193,Hootsuite,2788655330,fr,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-19T19:26:11.000Z,788823577088946176,"Mais uma tarde sentado, me divertindo. :/ #arquitetura #depressed #unifavip #metodologia http://someurl",everyone,788823577088946176,Instagram,427608102,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-18T03:28:27.000Z,788220169415950336,e o anos se passaram e ainda não entendo o porquê você me deixou desamparado. #depressive #depressed #mistakes,everyone,788220169415950336,Twitter for Android,1297244016,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-18T03:23:05.000Z,788218817826750464,"sozinho, sozinho,. eu não sei onde está o meu mundo mas eu estou precisando dele agora.. #depressed #depressive #giveup #echo",everyone,788218817826750464,Twitter for Android,1297244016,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-18T03:21:41.000Z,788218464825700352,"Há tanta coisa que eu lhe queria dizer, mas eu estou com medo de prosseguir..| #depressed #youth #alone #giveup #ifItoldyou",everyone,788218464825700352,Twitter for Android,1297244016,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-17T11:02:09.000Z,787971958524743680,Raquel http://someurl is #beautiful #cuddles #depressed #modelfitness #bridal #breathe,everyone,787971958524743680,MEGAPO.ST,2835347628,en,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-14T01:59:04.000Z,786748124203212800,Genovera http://someurl on #girl #yolo #depressed #igfit #bulldog #selfienation,everyone,786748124203212800,MEGAPO.ST,2837163216,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-13T21:20:22.000Z,786677987903172608,#depressed #nomequieroir #comocomogorda #moyopararelalma #downtown #cdmx #helado0light @ Centro... http://someurl,everyone,786677987903172608,Instagram,34454811,it,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [-99.1367394, 19.43296194]}, 'place_id': 'bfc35dcc7e63252a'}",,
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-10-12T22:56:41.000Z,786339836760322048,aí você tem que colocar uma máscara e fingir que nada aconteceu..| #youth #depressed #depressedyouth #sadness #sorrow #hurting,everyone,786339836760322048,Twitter for Android,1297244016,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-09T17:28:56.000Z,785170193010008064,Gostava que as pessoas me vissem com o filtro do snow............... #depressed http://someurl,everyone,785170193010008064,Twitter for Android,150274387,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-05T20:30:47.000Z,783766407800557568,Diário Fotos e Livros já saiu! http://someurl Graças a @someuser #joy #depressed,everyone,783766407800557568,Paper.li,65359165,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-02T01:48:42.000Z,782396861088985088,@someuser @someuser ela mal teve filho e já ta bonita #depressed,everyone,782309915582955520,Twitter Web Client,51644091,pt,#depressed,,"[{'type': 'replied_to', 'id': '782354460785930240'}]",30498802
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-28T09:16:32.000Z,781060009522241536,@someuser todos vms| #depressed,everyone,781059253729652737,Twitter for Android,3359960806,pt,#depressed,,"[{'type': 'replied_to', 'id': '781059253729652737'}]",2763216678
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-28T02:22:09.000Z,780955727762485248,"Eu queria muito receber a senha do meu novo cartão de crédito, mas cadê que passa carteiro... #depressed 😫",everyone,780955727762485248,Twitter for iPhone,2975606284,pt,#depressed,{'place_id': '45e3bce63f2beeee'},,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-27T00:59:32.000Z,780572548488585216,"#keepyouinmind #sad #whatslovetoyou #depressed @ Temple, Texas http://someurl",everyone,780572548488585216,Instagram,767788321682579456,es,#depressed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-09-24T21:34:41.000Z,779796218314625026,No outro dia vi uma t-shirt dos Sleeping With Sirens à venda na festa da Moita. | Só havia uma.| Não comprei.| #depressed,everyone,779796218314625026,Twitter Web Client,765165708330278913,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-22T02:02:08.000Z,778776362991714304,o jeito é voltar a pegar coisas reais #depressed http://someurl,everyone,778776362991714304,Twitter Web Client,17118554,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-18T22:19:54.000Z,777633272029478912,Que album lindo caramba.... pqp...| #dsbm #psychonaut4 #depressed #depressiveblackmetal http://someurl,everyone,777633272029478912,Instagram,2227537759,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-17T22:49:02.000Z,777278216931254273,Boa noite ☕ | #dsbm #pshychonaut4 #urbannegativism #urbanmisanthropy| #depressed #dead #tired #sad http://someurl,everyone,777278216931254273,Instagram,2227537759,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-17T19:55:46.000Z,777234612410052608,Qual é o sentindo de escrever qualquer coisa que seja se não for com uma caneta de pompom? #depressed,everyone,777234612410052608,Twitter Web Client,4211969602,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-10T18:58:49.000Z,774683563442728960,"De valor em quanto aí tem ,porque depois que perde já era| #depressed",everyone,774683563442728960,Twitter for Android,1011629113,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-10T01:37:06.000Z,774421407962951680,Você é uma obra de arte.| #alternative #indie #dsbm #suicidal #depressed #suicideboy #rockboy... http://someurl,everyone,774421407962951680,Instagram,437902511,pt,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [-43.9387, -19.9191]}, 'place_id': 'd9d978b087a92583'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-09-06T05:57:33.000Z,773037399513391104,"COMO ASSIM O ASHTON MOSTROU OS MAMILOS NUM CONCERTO???? MIGO, ASSIM NÃO DÁ. E EU? FICO COMO? A MORRER? #CHOCADA , #CONFUSA & #DEPRESSED",everyone,773037399513391104,Twitter for Android,764978728501903360,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-31T02:28:33.000Z,770810477643530241,A minha já tá alta. #bad #unhappy #depressed 🎈💊 http://someurl,everyone,770810477643530241,Instagram,48728443,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-08-22T18:40:49.000Z,767793665167228928,Preciso arranjar um mousepad ouija pra debugar essas treta que os brother manda| | #depressed #developer http://someurl,everyone,767793665167228928,Twitter for Android,40879362,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-08-19T19:23:25.000Z,766717223939563520,@someuser EU FIZ A MINHA ASSINATURA COM CORRETOR E FICOU UMA VALENTE MERDA E DEMOREI TANTO TEMPO #depressed,everyone,766716582210961408,Twitter for iPhone,3948756766,pt,#depressed,,"[{'type': 'replied_to', 'id': '766717067982766080'}]",3406396791
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-08-17T13:56:13.000Z,765910106592673792,"Parece que alguém voltou ao roxo, não é mesmo?! 🌚| #dsbm #suicidal #depressed #lost #suburban... http://someurl",everyone,765910106592673792,Instagram,437902511,pt,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [-43.9387, -19.9191]}, 'place_id': 'd9d978b087a92583'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-15T12:51:24.000Z,765169018223198208,#monday 🕓| #depressed 😶 @ Art Sistem http://someurl,everyone,765169018223198208,Instagram,1441901070,en,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [28.84119769, 40.9932518]}, 'place_id': '5e02a0f0d91c76d2'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-08-10T01:14:49.000Z,763181777460559872,Agora eu baixei um app que vc treina inglês com gringos. Mas ninguém fala comigo 😥. #depressed,everyone,763181777460559872,Twitter for Android,30995097,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-08-09T01:51:27.000Z,762828606913536000,queria jogar volei affffff #depressed,everyone,762828606913536000,Twitter for iPhone,424819692,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-01T05:28:13.000Z,759984057472155649,Dormir; melhor que viver| #depressed,everyone,759984057472155649,Twitter Web Client,64252605,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-28T22:02:20.000Z,758784682074968064,#depressed sex petite teens http://someurl,everyone,758784682074968064,Twitter Web Client,753246107099168768,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-17T19:11:23.000Z,754755396615696384,Eu só acho que to #depressed,everyone,754755396615696384,Twitter for iPhone,299297846,pt,#depressed,,,
"{'retweet_count': 2, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-07-14T18:44:34.000Z,753661484069163008,"#16yearstothetoilet #exchange #feelinglikeshit #depressed #notgoodenough #notfriendzoned| | -mariana pq a troquei, 2k16",everyone,753661484069163008,Twitter for Android,1553569992,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-10T00:28:27.000Z,751936083395510273,"Umas viadas vão pra Lapa beber, as outras viadas estão se arrumando pra ir pra Casa da Matriz, todas vão beber, eu fico em casa. #depressed",everyone,751936083395510273,Twitter Web Client,202860086,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-09T23:06:35.000Z,751915484044464128,Hj eu tirei um pijama pra colocar outro #depressed,everyone,751915484044464128,Twitter for Android,45897957,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-09T11:33:57.000Z,751741177125363712,O que raio é que se passa com a minha vida?| #Depressed,everyone,751741177125363712,Twitter Web Client,2653806272,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-07-08T20:40:21.000Z,751516291421253634,Depressão não é fantasia #depressed #depressão #psicologia #cuidar #cuidarse #cuidardemim #sejaluz #espiritualidade http://someurl,everyone,751516291421253634,Facebook,251611951,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-08T07:30:31.000Z,751317523342262272,Quando a vida te empurra para baixo... Ouça a música! Levante-se! ✊🏻❤️ #gay #sad #depressed... http://someurl,everyone,751317523342262272,Instagram,532563198,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-06T04:58:40.000Z,750554536922734592,@someuser ou sai toda tremida| não tenho uma foto ou vídeo que preste do show dos vampirinho nem da onda| #sad #depressed,everyone,750554152619696129,Twitter for Android,2781182479,pt,#depressed,,"[{'type': 'replied_to', 'id': '750554152619696129'}]",798247164
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-02T03:28:03.000Z,749082178479394816,Meio deprimido #depressed #notoriousbig #biggie #diddy http://someurl,everyone,749082178479394816,Instagram,155698083,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-24T13:10:25.000Z,746329633667301376,Azar é: ficar doente bem quando tem festa junina na empresa. Adeus comilança. #depressed,everyone,746329633667301376,Twitter Web Client,44188735,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-06-20T02:42:36.000Z,744722085063327745,@someuser NAO QUERO ESTAR MAIS EM CASA! NAO AGUENTO #depressed,everyone,744721878665863169,Twitter for iPhone,3078190915,pt,#depressed,,"[{'type': 'replied_to', 'id': '744721971749982208'}]",3631342336
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-18T01:58:38.000Z,743986244988723202,"Nessa noite de sexta, a profundidade da música brasileira #versos #depressed #musicabrasileira... http://someurl",everyone,743986244988723202,Instagram,4824586275,pt,#depressed,,,
"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-06-17T06:16:47.000Z,743688823708622848,queria come um mc donalds agora #depressed,everyone,743688823708622848,Twitter Web Client,262903579,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-09T20:31:48.000Z,741004893754929152,DESAFIO PRIMEIRA 07/06/16| | °QUEBRADO°| | #desafioprimeira #primeiraesquerda #broken #depressed... http://someurl,everyone,741004893754929152,Instagram,55657200,pt,#depressed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-06-08T00:16:24.000Z,740336641215205377,"Cara, eu preciso de um cigarro! Mas não tem cigarro nao tem dinheiro e não tem de quem roubar #depressed",everyone,740336641215205377,Twitter for Android,87248100,pt,#depressed,,,
