source,referenced_tweets,conversation_id,author_id,reply_settings,id,in_reply_to_user_id,text,created_at,public_metrics,lang,geo,search_query
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814958391386927105'}]",814958391386927105,556320777,everyone,814961864681594880,556320777,@someuser AND no crushed red pepper! (Only Parmesan packets... For real? Theres already cheese on the pizza. 😑🙄) #disappointed 😤,2016-12-30T22:30:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,{'place_id': 'c3f37afa9efcf94b'},#disappointed
Twitter for iPhone,,814961220449140737,11908682,everyone,814961220449140737,,Looking forward to a free meal with @someuser vouchers @someuser Cabot circus. #disappointed to find it closed. Couldve emailed us?,2016-12-30T22:27:50.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web Client,,814959653348114432,194685037,everyone,814959653348114432,,All in all a pretty shit day.... promised so much and delivered so little #disappointed,2016-12-30T22:21:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web Client,"[{'type': 'replied_to', 'id': '814518288063545345'}]",814518288063545345,59807237,everyone,814959420081836032,20015311,@someuser Did you just use the When word ? #disappointed #revolting #WordsAreLikePencilsTheyAreStrongerThanSwords,2016-12-30T22:20:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814957274334691329,490942859,everyone,814957274334691329,,... thought you were sexy till I saw you in person.. #disappointed 😕,2016-12-30T22:12:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814956843357315072,27513488,everyone,814956843357315072,,Definitely not on your A-game today @someuser #disappointed #maybenexttime,2016-12-30T22:10:27.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPad,,814956581523783681,77307775,everyone,814956581523783681,,Just caught up with #JonathanCreek - one of my favourite programmes. Theres been a massive change of character and Im sadly #disappointed,2016-12-30T22:09:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,{'place_id': '20bc436b37c1b13a'},#disappointed
Twitter for iPhone,,814951796405846022,1011604802,everyone,814951796405846022,,#AeDilHaiMushkil.. I did not watch what I just watched. #disappointed inside out! What was all this hype for? #what!,2016-12-30T21:50:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Goodshows,,814951659403149312,30576920,everyone,814951659403149312,,I rated #HardcoreHenry 2/5 on @someuser #Disappointed. Check out my review here http://someurl,2016-12-30T21:49:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,"[{'type': 'quoted', 'id': '814853843825684481'}]",814950442287431682,513908330,everyone,814950442287431682,,.@someuser I did that 2 days ago & still no response. #disappointed http://someurl,2016-12-30T21:45:01.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814950114770960384,2188567053,everyone,814950114770960384,,so.uk_s video http://someurl @someuser so is this what you do???? #disappointed,2016-12-30T21:43:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPad,,814945650672549889,2334077075,everyone,814945650672549889,,I was about to make drunken legal academic ranting tweet. But Im too tired. And not drunk enough. #disappointed,2016-12-30T21:25:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 15, 'quote_count': 0}",en,,#disappointed
Twitter for Android,"[{'type': 'replied_to', 'id': '814943764775137281'}]",814908794320863232,3384252321,everyone,814944192854130688,19436397,@someuser no we left the queue. Resorting to a ferry. Couldnt fly home until at least 3rd Jan. Not good. #Disappointed,2016-12-30T21:20:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814941169998299136,904140139,everyone,814941169998299136,,Feedback from my friend on #LALALAND | Woodys face says it all 🙂😂 #disappointed #notcool http://someurl,2016-12-30T21:08:10.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814941080122753025,392927888,everyone,814941080122753025,1410302630,"@someuser ten minutes batt life out of V8, without attachments.. not good enough Dyson. #Disappointed",2016-12-30T21:07:49.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814940103994933248,20150562,everyone,814940103994933248,19701628,@someuser why did you pull George Michael documentary scheduled for 9pm on bbc4 #Disappointed #RIPGeorgeMichael 😢,2016-12-30T21:03:56.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814939161312555008,198768796,everyone,814939161312555008,,#360dubai racist people dont dare to go.. you will be #disappointed,2016-12-30T21:00:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814938111054639104,28280153,everyone,814938111054639104,31311757,@someuser your app led me to jersey instead of queens and I ended up having to pay a double toll! Ill stick to waze #disappointed,2016-12-30T20:56:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPad,,814937155592130564,81592991,everyone,814937155592130564,,Annoyed @someuser that after just 2 years our TV has got a fault!! We pay good money for stuff for it to break after a short time #disappointed,2016-12-30T20:52:13.000Z,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814935318726115328,3564532582,everyone,814935318726115328,33877603,@someuser any updates on arrival in Cowes ? No information on the ferry...#disappointed,2016-12-30T20:44:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,{'place_id': '06168d1feda43857'},#disappointed
Twitter for iPhone,,814935279349940224,262780982,everyone,814935279349940224,,"So @someuser have dropped the @someuser documentary tonight,just live in Paris shown on BBC1 Thurs & Wham! At BBC #disappointed",2016-12-30T20:44:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitterrific for iOS,"[{'type': 'replied_to', 'id': '814780547390128129'}]",814780547390128129,15443363,everyone,814934591651856389,218568441,@someuser so many killers this year Niko! Come on! #disappointed,2016-12-30T20:42:02.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web Client,"[{'type': 'replied_to', 'id': '814915999078240256'}]",814907595861454849,86899265,everyone,814933741902630913,14558147,"@someuser #disappointed, expected real flamethrower, saw weed burner. | | sudo replace with http://someurl # Just $1600 or so",2016-12-30T20:38:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814932330397761541,186727654,everyone,814932330397761541,2651670978,@someuser Opening a new tube to find its half empty! #disappointed #notgoodenough! 😡 http://someurl,2016-12-30T20:33:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,{'place_id': '5692e119c49229b3'},#disappointed
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814929577109811201'}]",814929577109811201,15877796,everyone,814932236210294784,972651,"@someuser Im Mormon and I cannot believe the @someuser is making a political statement by attending it, regardless who won. #disappointed",2016-12-30T20:32:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814930317211500544,1189226221,everyone,814930317211500544,,Had beter verwacht 😕 #disappointed,2016-12-30T20:25:02.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,,#disappointed
Twitter for Android,,814930219563880449,26251947,everyone,814930219563880449,62643312,@someuser This is not the WiFi speed Im paying for. Support offered a new modem to arrive Tue. Really? #disappointed http://someurl,2016-12-30T20:24:39.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814926879169904640,3030643218,everyone,814926879169904640,,Yeah. #disappointed http://someurl,2016-12-30T20:11:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 2}",en,,#disappointed
Twitter for iPhone,,814926831820410880,353381542,everyone,814926831820410880,,I have @someuser #prime but have been waiting for my order to ship for 3 days. Not worth it if products dont move once ordered #disappointed,2016-12-30T20:11:11.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814924884782387202,902681833,everyone,814924884782387202,39538010,@someuser stopped showing up on my recommended page. Even though I watch him daily. Wtf @someuser #disappointed 😒,2016-12-30T20:03:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814924343859888129,243767971,everyone,814924343859888129,,.@someuser What happened to scheduled evening dedicated to #georgemichael? We really needed this to help cope with our loss :( #disappointed,2016-12-30T20:01:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814923595738648580,27446843,everyone,814923595738648580,21627660,@someuser I love your clothes but you really suck at carrying Large and XL in stores.... #disappointed,2016-12-30T19:58:20.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814923510048927744,1517977244,everyone,814923510048927744,53144417,@someuser  reserved on line..  but still have to wait in line? No express check out? #disappointed #hatelines,2016-12-30T19:57:59.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,{'place_id': '484de3636fa22d62'},#disappointed
Twitter for iPhone,,814923376779108352,245820142,everyone,814923376779108352,,Dear @someuser it shouldnt take over an hour to get a car...#disappointed,2016-12-30T19:57:28.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter Web Client,,814922805959606272,421199795,everyone,814922805959606272,18332190,@someuser executive club member and no flight refund because I used Avios points - whats the point in them? #disappointed #poorshow,2016-12-30T19:55:12.000Z,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPad,"[{'type': 'replied_to', 'id': '814628406373584896'}]",814628406373584896,381440196,everyone,814921050085617665,1959298279,@someuser Yet you thought it was ok to cancel the musician for NYE only tonight? He turned down 4 other venues for you. #disappointed,2016-12-30T19:48:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814919401149300736,16451432,everyone,814919401149300736,,Really #disappointed in your #sensoryfriendly program @someuser New Website & info listed is completely misleading.,2016-12-30T19:41:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,"[{'type': 'replied_to', 'id': '814909575568596992'}]",814889944627834880,206301546,everyone,814918006392262656,529856325,@someuser Thanks for kicking me to the back for something not my fault. TERRIBLE! Customer service. #poorcustomerservice #disappointed http://someurl,2016-12-30T19:36:07.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,{'place_id': '002d396055a6adf8'},#disappointed
Twitter for iPhone,,814917609262960640,1305095562,everyone,814917609262960640,,Unfortunately this is what a 6 piece chicken nugget at Chick-Fil-A looks like these days... #disappointed @someuser http://someurl,2016-12-30T19:34:33.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",en,,#disappointed
Facebook,,814915415986106369,377950803,everyone,814915415986106369,,It seems like I was totally wrong.| Expensive places will forever render best service to their customers.| | #disappointed,2016-12-30T19:25:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Hootsuite,,814914493822234624,18306659,everyone,814914493822234624,17185854,@someuser Took my brother in law @someuser to town to watch the clock today but it no worky #disappointed #ladygodiva #peepingtom,2016-12-30T19:22:10.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web App,,814913350194909188,111369029,everyone,814913350194909188,,#SellOrSwap what a turn off! wanted 2 swap VR thats incompatible for same value. But u have a #preplannedauction. #disappointed,2016-12-30T19:17:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814910245214396416,16604719,everyone,814910245214396416,,"Made some chilaquiles and it looks like a scrambled quesadilla. Aaaand, I forgot onions! #disappointed",2016-12-30T19:05:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814854070028664832'}]",814854070028664832,997923073,everyone,814909708318474240,24756451,@someuser @someuser @someuser Shame @someuser cocked up on the schedules. Is it going to be repeated? #disappointed,2016-12-30T19:03:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814827888327462912'}]",814827888327462912,1894353684,everyone,814909231627440128,517306957,@someuser @someuser #disappointed @someuser seriously: vote 4 u 😡!! 2faced party... poor animals!  #saynotofireworks  #JoburgNYE,2016-12-30T19:01:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web Client,,814903608164511744,34478640,everyone,814903608164511744,,It *really* annoys me how glitchy #DeadRising4 is. I expected more @someuser @someuser #Disappointed,2016-12-30T18:38:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web App,"[{'type': 'quoted', 'id': '814864386955350016'}]",814902650416271360,150332055,everyone,814902650416271360,3084010869,@someuser see youre following me but no reply. #wheresthecheese #meltedaway #disappointed #wasteofmoney http://someurl,2016-12-30T18:35:06.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814890027914141696'}]",814890027914141696,402774165,everyone,814899516549672960,14411304,@someuser really? I have to pay a fee to read a link you posted? #disappointed http://someurl,2016-12-30T18:22:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814899485411332101,376615795,everyone,814899485411332101,24886025,"@someuser , why would you give #MiloYiannopoulos  a book deal? Hes terrible...please make better choices. #disappointed",2016-12-30T18:22:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web App,,814899310802440192,318039028,everyone,814899310802440192,,When you open and dig in to a box of maltesers and half are stale. @someuser #disappointed,2016-12-30T18:21:50.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814898235642814464,2754078731,everyone,814898235642814464,,#disappointed in the #radiology #dept| Told in a nasty tone I could not go back with my kid but I other people are allowed.| #unprofessional,2016-12-30T18:17:34.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",en,{'place_id': '07d9e39e75c85004'},#disappointed
Twitter Web App,,814898128113586176,4251298823,everyone,814898128113586176,89084561,"@someuser ugh. Nevermind, apparently you also support disenfranchisement. #disappointed",2016-12-30T18:17:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,"[{'type': 'quoted', 'id': '814891990785687552'}]",814897916074659844,21960918,everyone,814897916074659844,25071402,@someuser No Tammy?  Aww. #disappointed http://someurl,2016-12-30T18:16:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814897778077863937,143737240,everyone,814897778077863937,1650038130,@someuser do you consider this to be a good presentation of a #pizza? Its ridiculous. Toppings are supposed to even #disappointed http://someurl,2016-12-30T18:15:45.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814897072486969348,174792230,everyone,814897072486969348,,So disappointed that the film we wanted to see was sold out when we got to the cinema 😔 #disappointed #sad #notmyday #film #FantasticBeasts,2016-12-30T18:12:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814895013209538561,506406188,everyone,814895013209538561,,Wha what?  This @someuser is out of cups for mouthwash #notfreshbreath #disappointed http://someurl,2016-12-30T18:04:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,"[{'type': 'replied_to', 'id': '814893872857890816'}]",814869996715331584,23659048,everyone,814894101623611392,406030956,@someuser Not in Yorkshire then? #disappointed,2016-12-30T18:01:08.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814893835117621250,49017417,everyone,814893835117621250,,I went to @someuser on Bond st to buy another coat for me and my daughter and we were not let in. Security said overcrowded. #disappointed,2016-12-30T18:00:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814891560290713600,276032901,everyone,814891560290713600,,First time buying from @someuser and very #disappointed. I clearly received a used product (urban decay naked 3 pallete) #ridiculous,2016-12-30T17:51:02.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter Web Client,,814889678222540804,1096914481,everyone,814889678222540804,,I havent seen @someuser this whole tournament. #disappointed,2016-12-30T17:43:33.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814889583171268608,1332226868,everyone,814889583171268608,170277278,@someuser do you think its acceptable to accept order & payment but not tell them is out of stock till over 2 wks later? #disappointed,2016-12-30T17:43:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,{'place_id': '6c3784993a540a38'},#disappointed
Twitter for iPhone,,814887369325297665,100851551,everyone,814887369325297665,,Hope there is a twist coming not sure how it will go without #Ragnar #Vikings #disappointed,2016-12-30T17:34:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,{'place_id': 'bc1dbfe09834a716'},#disappointed
Twitter Web Client,,814886721011777536,45422291,everyone,814886721011777536,44196397,@someuser Friend ordered MS today but TM cant deliver before 01/04 so no SC for him.TM said ordered before 31/12 will get SC.#disappointed,2016-12-30T17:31:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814885019193933825,3221436559,everyone,814885019193933825,20536157,@someuser if there is no 4-4.5 inch phone in 2017 Im leaving android for good #disappointed,2016-12-30T17:25:03.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814883523811246080,4867663803,everyone,814883523811246080,,. @someuser where are the NYE outfits? #disappointed,2016-12-30T17:19:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",en,,#disappointed
Twitter Web Client,"[{'type': 'replied_to', 'id': '814882819163885568'}]",814882405295079425,364921265,everyone,814883150895558656,2475273985,@someuser have done twice. Can you tell me a way to speak someone from customer care team? #disappointed,2016-12-30T17:17:37.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814879614879174661,968488794,everyone,814879614879174661,,"Internet: Man, 2016 was a rough year | Me: #sigh #Goodbye2016 #welcome2017 #truestory #sad #disappointed #sadman #shit #shithappens #smile http://someurl",2016-12-30T17:03:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for Android,,814876550441091072,148760111,everyone,814876550441091072,3309375033,"@someuser lot of battery issue is faced iPhone 6s, after showing on service center nothing has changed.| #Frustrating #disappointed",2016-12-30T16:51:23.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814875200424591360,34217118,everyone,814875200424591360,,Why couldnt you just be honest ? Why did you have to do me like that !? Of all people !! Me !?! | #disappointed #heartbroken #done,2016-12-30T16:46:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814872605039722496,814870355923927040,everyone,814872605039722496,18332190,@someuser #delays_happen but #customerservice is to communicate and help customers. #disappointed,2016-12-30T16:35:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
Twitter for iPhone,,814871117345259520,171086799,everyone,814871117345259520,43121121,"@someuser hi, visited your Brighton store and bought one of the remedies kit.. get home and one is missing? #disappointed http://someurl",2016-12-30T16:29:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,,#disappointed
