source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
Twitter for Android,797475992105197568,762309331358330882,everyone,797475992105197568,Kainggit yung may mga tour | #depressed,2016-11-12T16:27:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,796704090587701249,142617567,everyone,796704090587701249,I dont understand what i am feeling right now. Ewan ko ba nababaliw na ata ako :(| #Depressed| #SelfPity| #Sad| #MissingSomeone| #ABitHappy,2016-11-10T13:20:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,796258969069043712,2304822276,everyone,796258969069043712,Its officially Kalyug. Ghor Kalyig. #Election2016 #depressed,2016-11-09T07:51:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
MEGAPO.ST,795562224127508480,2799084203,everyone,795562224127508480,Sasha http://someurl un #selfie #hayatakarken #depressed #entregaimediata #stayfit #musclemaniaparis,2016-11-07T09:43:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Instagram,794727626002890752,223755237,everyone,794727626002890752,Meet may kambal ang nakasalamin.| #lord i give up na po| #bahala na po kayo sakin!| #depressed... http://someurl,2016-11-05T02:26:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,794515933662310400,772412072248287232,everyone,794515933662310400,Hambal nila mag dako ko height ko 54 or 55 lang indi gid na pwede ya.😪😓😢#depressed,2016-11-04T12:25:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
MEGAPO.ST,794345199518498817,2835347628,everyone,794345199518498817,Tabatha http://someurl is #ceweksexy #saturdays #depressed #azerbaijan #men #hardcoreladies,2016-11-04T01:07:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,793116962016600064,1324817178,everyone,793116962016600064,"hindi porket nanahimik, wala ng pakiramdam | |  #fakesmile  😊😊💘💘 #depressed 😜 — thinking about making a change",2016-10-31T15:46:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,792399514497712128,2373688878,everyone,792400382185971714,ay kinain na yung chips ko ;-( ;-( ;-( #disappointed #depressed #BumalikNgKwartongLuhaan,2016-10-29T16:19:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '792399514497712128'}]",2373688878,
MEGAPO.ST,791956978868244480,2799084203,everyone,791956978868244480,Tabatha http://someurl un #bisyar #mor #depressed #cheatmeal #ddob #myvibes,2016-10-28T10:57:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,791659492140130304,929327479,everyone,791659492140130304,YUNG GANITONG MGA GANAP. KAHIT CORNY YUNG JOKE TAWANG TAWA AKO 😭😭😭. #depressed,2016-10-27T15:15:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,790912228052471809,68321947,everyone,790994843149410304,@someuser HA HA HA SAME!!! #twins #depressed #haha,2016-10-25T19:14:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '790994731689996289'}]",1484319529,
Twitter for Android,790059722342739968,3003531907,everyone,790059722342739968,"PHIL CON!!! wa joy justice akong grade. Makaluya, walay gana sa tanan| #Depressed | | Ge buhat na nako tanan. I will really talk to you sir😣💔",2016-10-23T05:18:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,789673857850507264,38404124,everyone,789673857850507264,"pwede bang pagkagising ko, flight ko na #depressed",2016-10-22T03:44:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,789457610420342786,1965093000,everyone,789457610420342786,MAHEI MASING BU TMBIRIBA PALEM PANTHOU NACHA BU KARIGI THADOKPIRMLI| #DEPRESSED| #lyrik_heitbna_loire,2016-10-21T13:25:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Instagram,788785272511041537,2922643980,everyone,788785272511041537,ikakain ko na lang to 🙄 #depressed http://someurl,2016-10-19T16:53:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,788559963308392449,314295909,everyone,788559963308392449,Ung feeling na prn multo ka lang pag nagcchat sa gc as if di nla nkkta..feel like u dont exist anymore. #depressed,2016-10-19T01:58:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#depressed,,,{'place_id': '01bb53b81ba40196'}
Instagram,788341677811462144,364938363,everyone,788341677811462144,#depressed #justsaying @ Bahay Kubo http://someurl,2016-10-18T11:31:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,787535917921599488,774807830104682498,everyone,787535917921599488,ano pwede gawin para maging masaya?| | #depressed,2016-10-16T06:09:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,786897445217181697,746319806626816001,everyone,786897445217181697,Magtaka na kayo pagnanahimik ako ... | | #Depressed,2016-10-14T11:52:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,784345793683558401,4014969560,everyone,784345793683558401,"I quit but I will never give up. Makalingkawas ra unya ko ani, karon ra jud ni.| | #Depressed",2016-10-07T10:53:04.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,783822081590980608,633577235,everyone,783822081590980608,Ayoko na.. Suko na talaga ko.| Hindi ko na ata kaya ! Ayoko na magtiis pa -_-| #Depressed| #Stress,2016-10-06T00:12:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,783268779467735040,1331350994,everyone,783268779467735040,Kung tatanungin niyo ko kung bakit ako nagbago?...masasabi ko lang dahil yan sa pinapakita niyo sakin :(| #depressed,2016-10-04T11:33:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,783268125357645826,1331350994,everyone,783268125357645826,Di ko mapaliwanag nararamdaman ko... pakiramdam ko ako na lang mag isa pakiramdam ko walang nagmamahal sakin| #depressed,2016-10-04T11:30:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,783265658687455232,1331350994,everyone,783265658687455232,sa panahon ngayon music na lang kadamay ko| #depressed,2016-10-04T11:21:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Instagram,782850190830993408,868720136,everyone,782850190830993408,Monday morning 😖😐😑 #monday #depressed #tired @ Klimasan http://someurl,2016-10-03T07:50:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,"{'coordinates': {'type': 'Point', 'coordinates': [27.36322466, 38.62144275]}, 'place_id': '0155645e0be223c5'}"
Twitter for iPhone,781154824855302145,4849385309,everyone,781154824855302145,yung  maalala mo lang c twitter kung depressed ka #Stressed  #depressed #bored http://someurl,2016-09-28T15:33:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,{'place_id': '00370a296d59c6a3'}
Twitter for Android,781012684124946432,115338224,everyone,781012684124946432,ung pakiramdam ko ngayon ang bigat...| :(((  haaaays...bat sila ganun...| | #depressed,2016-09-28T06:08:29.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,780989920152354816,290662844,everyone,780989920152354816,Maling oras| Maling araw| Maling panahon| Siguro nga hindi pa dapat tlga ngayon...| Parang gusto q nlng bumalik yung nuon...😪| #Depressed,2016-09-28T04:38:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,780342241793417216,841053079,everyone,780342241793417216,Uung paibaiba na lang ang desisyon nya. Anu na gagawin ko? :( #stressed #depressed #ayokona :( :( :(,2016-09-26T09:44:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web App,780278306692222976,3060788852,everyone,780278306692222976,KUNG SINO MANG TANG INA ANG KUMUHA NG EARPHONE KO KAHAPON MAMATAY KANA SANA!!! #HURT #DEPRESSED #MYLIFE #GONEFOREVER 💔💔💔,2016-09-26T05:30:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,778576661532991489,500639857,everyone,778576661532991489,Gusto ko mag kape. Libre ko isang alter ng kape. Tara na samahan nyo ko kailangan ko ng kasama sa mga oras na to #depressed 😶,2016-09-21T12:48:36.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,777830526849777664,175419756,everyone,777830526849777664,Mayooo @someuser @someuser @someuser @someuser @someuser @someuser @someuser @someuser #Depressed http://someurl,2016-09-19T11:23:43.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'quoted', 'id': '777740932733165568'}]",,
Twitter Web Client,777789424536989697,307394610,everyone,777791928620298240,"@someuser @someuser Ano tara Anjo? Hahahahaha usap nga tao, dami nating inarte sa Twitter HAHAHA #depressed",2016-09-19T08:50:21.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '777790598602383364'}]",50258590,
Facebook,777529661718880258,3601663393,everyone,777529661718880258,Tara out of town ! Makalaya man lang sa stress at pain 󾌵| | #depressed #pain #stress #beachreliever,2016-09-18T15:28:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,776746335815032832,3277575288,everyone,776746335815032832,Wa pay alas 8 katulgon na kayko di tantong stress kaykos skwelahan ba hays #feeling #depressed,2016-09-16T11:35:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,773183008719249409,3247547186,everyone,773183221580206081,@someuser nakonsensya si kuya sikad driver #fragile #depressed,2016-09-06T15:36:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '773183008719249409'}]",3247547186,
Twitter for Android,772764655873732608,718597447983849473,everyone,772764655873732608,Kailan kapa ba matatapos.?? #depressed,2016-09-05T11:53:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,772763873904431104,717340191283761152,everyone,772763873904431104,walang kain kanina pa. Hintayin ko nalang siguro mamatay ako #depressed,2016-09-05T11:50:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Instagram,772612923868999680,1684375261,everyone,772612923868999680,Sayonara summer. #cleanrepost #emptypool #depressed #deepinthought #topless http://someurl,2016-09-05T01:50:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Foursquare,771992166310838274,524118767,everyone,771992166310838274,Dahil di kami naglunch sabay ni mañables #alone #depressed #LesMills #BodyPump #Pump na lang ako dito. http://someurl,2016-09-03T08:44:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,"{'coordinates': {'type': 'Point', 'coordinates': [121.05680466, 14.58499556]}, 'place_id': '005de1fe214f002d'}"
Facebook,771937020272926721,2430028297,everyone,771937020272926721,Ang unfair mo po Sir 󾍅󾌹| #depressed| #GodHelpMe,2016-09-03T05:05:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,771917898801639425,388689508,everyone,771917898801639425,Ppasok sa work na wala sa sarili aw 󾌸 smile na lng tyu nito khit ang bigat ng naramdaman ko now.. | | #gutom| #depressed,2016-09-03T03:49:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,770702122933444608,2420051774,everyone,770702122933444608,#depressed _dnt_know — listening to Tujhse Naraz Nahi Zindagi | Sanam,2016-08-30T19:17:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,769123914085642240,2610869346,everyone,769123914085642240,#depressed na depressed na ako | kAiisip| Na kung bakit ang dali mo  lng sabihin ang salitang| PAALAM| #looking some... http://someurl,2016-08-26T10:46:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,768083436951121920,189185819,everyone,768083436951121920,Bakit away niyo..dindamay niyo pa kami😢😢😢 #depressed #sad,2016-08-23T13:52:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,{'place_id': '01cf094a554e5069'}
Twitter Web Client,767682023838265344,78489792,everyone,767683132715741184,"@someuser Buti ka pa nakautang huhuhu kasi sakin naman, tumanggi yung kahati ko. Kasi pwede namang dalawa sa photo op. #depressed",2016-08-22T11:21:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '767682615004409856'}]",2427129366,
Twitter Web Client,767660237100769280,550049511,everyone,767660237100769280,"SANA MAY TAONG MAKAINTINDI SAKI, KASI HINDI KO MAINTINDIHAN ANG SARILI KO. NAIISIPAN KO NANG SUMUKO SA BUHAY KO. #depressed #atthebottom",2016-08-22T09:50:37.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,764297077207633920,379622469,everyone,764317321129099264,@someuser wala kasi akong mapanooran 😔 #Depressed na ako. Katatapos lang game niya. Tom ulit ata. Oo! Grabe. Pati nga suot nila eh hay 😭,2016-08-13T04:27:04.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '764316816021651456'}]",143797260,
Twitter for Android,763264406859845632,759586710443270144,everyone,763264406859845632,"Ap , mapeh, eng sci fil anramiiiii take note may comp paaaaaa pano ba yun iprinta at meron pa pala sa third day #stopstudentabuse #depressed",2016-08-10T06:43:10.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,762698242056257537,315222435,everyone,762698242056257537,Di ko naman akalain na sa EP rin pala na to si Neji.. 😥😥😥💔💔💔| | Haaaaayyyy... #depressed| #Naruto364,2016-08-08T17:13:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,760312272275111936,1155804566,everyone,760312272275111936,gusto ko mag sorry sa kanya Lord. alam ko meron din akong ksalan nasigawan ko siya. sorry God naging mahina ako. #depression #Depressed,2016-08-02T03:12:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,756866183073193988,721159533813338114,everyone,756866183073193988,Pusuan ko wall mo? Real talk ko dp mo FL kita? Comment lang Free fs! Hit like sa mga single #depressed http://someurl,2016-07-23T14:58:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#depressed,,,
Facebook,755042327861735424,2537583182,everyone,755042327861735424,Ano kayang feeling ng magsuicide? | #depressed :(,2016-07-18T14:11:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for Android,754306635879686145,1358383590,everyone,754325867057205248,@someuser colton haynes pon. Haishhhh bila la nak ada muka mcm nih..... hahhahaha #depressed jap hahah,2016-07-16T14:44:36.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '754325565780267009'}]",2975394797,
Facebook,753818828237254656,582592463,everyone,753818828237254656,akala ko okay na..| di pa pala... | haist| 󾍆󾌡󾌿󾰦󾰧󾰕󾌹󾌣󾌺| | #depressed — feeling crazy,2016-07-15T05:09:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,753163653357109248,1004285089,everyone,753163653357109248,Daming paasa sa mundo puta !!!!!!!!!!| | #loadedProblem| #depressed| #cantHelpthisfeelings,2016-07-13T09:46:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPad,753070594279616512,1229270551,everyone,753070594279616512,#depressed | gusto q nlang mamatay!!!,2016-07-13T03:36:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,752888936058400769,39716159,everyone,752890290051031042,@someuser gusto ko uminom. Pero gusto ko din maggym. Hahahaha. #depressed,2016-07-12T15:40:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '752890085083787264'}]",62213742,
Twitter for Android,752133181571076096,4915578567,everyone,752133181571076096,"yun yun e, pwede namang lumuwas pero hindi makaluwas 😭😭😭.. di ako mkaget-over e...wahaha| #depressed",2016-07-10T13:31:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,751771829287526402,3177338208,everyone,752106428832161792,@someuser #i #am #depressed #bruh yah bakit daw kailangan guardian sa standing vip ??? yikes,2016-07-10T11:45:20.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '752104582365392896'}]",744850639,
Twitter Web App,751448925668724737,728455278769799168,everyone,751448925668724737,"#Depressed I rather die😣 hindi ko na talaga kaya, am I that bad? please I apologized..",2016-07-08T16:12:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter for iPhone,750317537963810816,32850843,everyone,750484675982798848,@someuser hahaha magshot hahaha #depressed,2016-07-06T00:21:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '750484495812337664'}]",622002801,
Mobile Web (M2),750356826110164992,2519816760,everyone,750356826110164992,❎ Camprisa| ❎ Buwan ng Wika| ❎ Theater Sched.| | #Stressed #Depressed #Mygaaaawds,2016-07-05T15:53:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,748085277403418625,3006517374,everyone,748085277403418625,Makahilak man sad kos akong gbati run oyy 😭😥😷😷😷 grabe! 😭😪 Permi nlang mn gud bilar tas daghan huna2on sa school 😭😢😷😵| #depressed😷,2016-06-29T09:26:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Facebook,747672640895262721,88382817,everyone,747672640895262721,Gusto ko na lang sumigaw ng malakas taoos umiyak ng walang tigil. Okaya lamunin na lang ako ng lupa para mawala na. #depressed 󾌺󾌺󾌺󾌺󾌺󾌺󾌺󾌺,2016-06-28T06:07:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#depressed,,,
Twitter Web Client,747280764186689536,863956478,everyone,747305696656429057,@someuser @someuser ma rosa! pinilit nya ko!!! :( #depressed ako ngayon dahil sa kalokohan ng anak mo. huhu,2016-06-27T05:48:57.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",tl,#depressed,"[{'type': 'replied_to', 'id': '747305456188592129'}]",826589604,
Twitter for Android,747132099400859648,138734507,everyone,747132099400859648,I dont want to face a camera even a mirror hanggang sa maayos yung balat ko :(((((((( #depressed #stress,2016-06-26T18:19:08.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",tl,#depressed,,,
